ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
f53b6cc5-e1fa-4a4e-9a54-87d826256184,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,,,UNEXECUTED,,"08-20-2022 06:18:25","Thejus Ramakrishna",,,,,49bbfe22-08bf-4937-b1cc-5702e6697d31,1,"Open the browser",Chrome,"Browser should open",UNEXECUTED,,
f53b6cc5-e1fa-4a4e-9a54-87d826256184,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,,,UNEXECUTED,,"08-20-2022 06:18:25","Thejus Ramakrishna",,,,,123350ea-0216-479c-805c-65c9b51bf26b,2,"Enter URL",https://opensource-demo.orangehrmlive.com/,"It should navigate to login page",UNEXECUTED,,
f53b6cc5-e1fa-4a4e-9a54-87d826256184,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,,,UNEXECUTED,,"08-20-2022 06:18:25","Thejus Ramakrishna",,,,,571b00e9-d164-415b-80c7-64d6f8e96348,3,"Enter username",Admin,"Entered username should be displayed",UNEXECUTED,,
f53b6cc5-e1fa-4a4e-9a54-87d826256184,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,,,UNEXECUTED,,"08-20-2022 06:18:25","Thejus Ramakrishna",,,,,d347c7f5-22c6-4d51-a4fe-b8bcd6a23d9b,4,"Enter password",admin123,"Entered password should be displayed",UNEXECUTED,,
f53b6cc5-e1fa-4a4e-9a54-87d826256184,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,,,UNEXECUTED,,"08-20-2022 06:18:25","Thejus Ramakrishna",,,,,b062f811-0e47-4841-a77d-dc815546c1bc,5,"Click login button",,"Login should be successful",UNEXECUTED,,
263a9817-0d22-44e7-9781-5ed300766422,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,"Thejus Ramakrishna","08-20-2022 06:19:54",PASS,,"08-20-2022 06:18:50","Thejus Ramakrishna",,,,,49bbfe22-08bf-4937-b1cc-5702e6697d31,1,"Open the browser",Chrome,"Browser should open",PASS,,
263a9817-0d22-44e7-9781-5ed300766422,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,"Thejus Ramakrishna","08-20-2022 06:19:54",PASS,,"08-20-2022 06:18:50","Thejus Ramakrishna",,,,,123350ea-0216-479c-805c-65c9b51bf26b,2,"Enter URL",https://opensource-demo.orangehrmlive.com/,"It should navigate to login page",PASS,,
263a9817-0d22-44e7-9781-5ed300766422,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,"Thejus Ramakrishna","08-20-2022 06:19:54",PASS,,"08-20-2022 06:18:50","Thejus Ramakrishna",,,,,571b00e9-d164-415b-80c7-64d6f8e96348,3,"Enter username",Admin,"Entered username should be displayed",PASS,,
263a9817-0d22-44e7-9781-5ed300766422,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,"Thejus Ramakrishna","08-20-2022 06:19:54",PASS,,"08-20-2022 06:18:50","Thejus Ramakrishna",,,,,d347c7f5-22c6-4d51-a4fe-b8bcd6a23d9b,4,"Enter password",admin123,"Entered password should be displayed",PASS,,
263a9817-0d22-44e7-9781-5ed300766422,"Ad hoc",,T2-11,"Login feature of Orange HRM","TEAM 2",,"Version 1.0",Medium,"Thejus Ramakrishna","08-20-2022 06:19:54",PASS,,"08-20-2022 06:18:50","Thejus Ramakrishna",,,,,b062f811-0e47-4841-a77d-dc815546c1bc,5,"Click login button",,"Login should be successful",PASS,,
